Organisation,Reason,Sample
NSF Grant from the US National Science Foundation,Contains 'national science foundation' or 'nsf',sample_1
NSF-ELT program,Contains 'national science foundation' or 'nsf',sample_1
NSF Aeronomy Program,Contains 'national science foundation' or 'nsf',sample_1
National Science Foundation NRT,Contains 'national science foundation' or 'nsf',sample_1
National Science Foundation LTER program,Contains 'national science foundation' or 'nsf',sample_1
National Science Foundation ADVANCE grant,Contains 'national science foundation' or 'nsf',sample_1
NSF MWN,Contains 'national science foundation' or 'nsf',sample_1
"Plasma Diagnostics Using Fast Thomson Scattering through the National Research Foundation of Korea (NRF) - Ministry of Education, Science and Technology",Contains 'national science foundation' or 'nsf',sample_2
project of national science and technology supporting plan,Contains 'national science foundation' or 'nsf',sample_2
National High Magnetic Field Laboratory through the NSF,Contains 'national science foundation' or 'nsf',sample_3
National Science Foundation and Environmental Protection Agency program Networks for Sustainable Material Synthesis and Design,Contains 'national science foundation' or 'nsf',sample_3
NSF at Northwestern University,Contains 'national science foundation' or 'nsf',sample_3
U.S.National Science Foundation (NSF),Contains 'national science foundation' or 'nsf',sample_3
National Science Foundation through the Nanoscale Science and Engineering Center,Contains 'national science foundation' or 'nsf',sample_3
Korea Research Fellowship Program - Ministry of Science and ICT through the National Research Foundation of Korea,Contains 'national science foundation' or 'nsf',sample_4
NSF/SHINE grant,Contains 'national science foundation' or 'nsf',sample_5
NSF CCR,Contains 'national science foundation' or 'nsf',sample_6
National Institutes of Health from the National Science Foundation,Contains 'national science foundation' or 'nsf',sample_6
National Science Foundation though PENN MRSEC,Contains 'national science foundation' or 'nsf',sample_6
